ref,qty,value,manufacturer,mpn,footprint,unit_price_eur,line_total_eur,supplier,required,reason
C3,1,100 uF / 10 V,Panasonic,EEE-FT1A101AP,SMD electrolytic 6.3 x 5.8 mm,0.40,0.40,Mouser,required,Local reservoir at the SPS30 connector; the sensor is at the end of a cable and pulls 80 mA for the first 200 ms.
C4,1,1 uF / 16 V X7R,Murata,GRM188R71C105KA12D,0603,0.10,0.10,Mouser,required,+3V3_SENS decoupling.
C6,1,100 nF / 16 V X7R,Murata,GRM188R71C104KA01D,0603,0.05,0.05,Mouser,required,Button RC debounce with R3.
R1,1,330 R,Yageo,RC0603FR-07330RL,0603,0.02,0.02,Mouser,required,Series resistor in the SPS30 UART TX line: limits any current injected into the unpowered sensor and damps the cable.
R2,1,330 R,Yageo,RC0603FR-07330RL,0603,0.02,0.02,Mouser,required,Same for the SPS30 UART RX line.
R3,1,100 k,Yageo,RC0603FR-07100KL,0603,0.02,0.02,Mouser,required,"Button pull-up to +3V3 (always-on rail, so the button can wake the MCU out of deep sleep). The button is on GPIO1, an RTC pin."
R5,1,1 M,Yageo,RC0603FR-071ML,0603,0.02,0.02,Mouser,required,Bleeder on +3V3_SENS so the rail actually collapses when SW2 opens.
SW4,1,"tactile switch 6 x 6 x 5.0 mm, through hole",Alps/Omron,B3F-4050 (or any 6x6x5.0 mm THT tactile),"THT 6 x 6 mm, 5.0 mm total height",0.30,0.30,Mouser / Reichelt,required,"Single multifunction user button. The 5.0 mm overall height is what the enclosure is dimensioned around: it puts the stem tip 3.5 mm behind the front face, leaving 0.3 mm of travel under the printed cap."
R6,1,4.7 k,Yageo,RC0603FR-074K7L,0603,0.02,0.02,Mouser,required,"SDA pull-up for the sensor bus, to the *switched* sensor rail: when the rail is off there is no pull-up left to back-feed the unpowered sensors."
R7,1,4.7 k,Yageo,RC0603FR-074K7L,0603,0.02,0.02,Mouser,required,"SCL pull-up for the sensor bus, same reasoning as R6."
LED1,1,"RGB LED 5 mm diffused, common anode",Adafruit,159,"THT 5 mm, 4 leads",1.20,1.20,Adafruit / Berrybase,required,"The only user-facing output now that the sensor has no display: air quality at a glance, pairing mode, low battery. Anode on VBAT so green and blue have forward-voltage headroom; the cathodes are sunk by GPIOs. Shines through a 0.6 mm skin left in the front face, no hole."
R8,1,1 k,Yageo,RC0603FR-071KL,0603,0.02,0.02,Mouser,required,Red: (3.8 V - 2.0 V) / 1k = 1.8 mA.
R9,1,330 R,Yageo,RC0603FR-07330RL,0603,0.02,0.02,Mouser,required,Green: (3.8 V - 3.1 V) / 330R = 2.1 mA.
R10,1,330 R,Yageo,RC0603FR-07330RL,0603,0.02,0.02,Mouser,required,Blue: as green.
J1,1,JST ZHR-5 cable,JST,ZHR-5 + SZH-002T-P0.5,"1.5 mm pitch, 5 way",1.50,1.50,Mouser / Digi-Key,required,"Mating connector for the SPS30, per its datasheet."
BT1,1,"LiPo 3.7 V 4000 mAh, protected, 606090",generic,606090 / PL-606090-4000 class,"6.0 x 60 x 90 mm + PCM, JST PH 2.0 lead",18.00,18.00,Eremit / AKKUparts / Adafruit equivalent,required,"Largest cell that fits a 98 x 102 mm case upright, with a sane ~24 h charge time at the Feather's 196 mA charger. Must include a PCM (over-charge, over-discharge, over-current and short-circuit protection)."
PCB1,1,AIR CHECK carrier board (ACC-1),JLCPCB/Aisler,ACC-1 rev B,"2-layer, 70 x 35 mm, 1.6 mm FR4",8.00,8.00,JLCPCB / Aisler / PCBWay,required,"Carries the boost, the two load switches, the button, the RGB LED, the sensor-bus pull-ups and the SPS30 connector, and holds the Feather."
X1,1,M2.5 brass heat-set inserts (12x) + M2.5x8 screws,generic,M2.5 x 4.0 x 4.6 knurled,-,6.00,6.00,Amazon / Ruthex,required,"Serviceable, re-openable enclosure."
X2,1,acoustic foam / EPDM strip 2 mm,generic,-,-,3.00,3.00,local,required,Sensirion recommends decoupling the SPS30 mechanically to stop the fan exciting the case.
X3,1,silicone wire 26 AWG + JST PH 2.0 pigtail,generic,-,-,4.00,4.00,local,required,Battery lead and internal wiring.
X4,1,Nordic PPK II power profiler,Nordic,nRF-PPK2,-,95.00,95.00,Mouser / Digi-Key,optional,Only way to confirm the battery model on real hardware. Optional but strongly recommended.
